MASS (MeV)   | SCALE      | k    | TOPOLOGY        | LIFETIME (s) | STATUS
109449.47    | MESON      | 1563 | Perfect (0)     | STABLE       | PREDICTION (Stable)
109463.02    | BARYON     | 700  | Perfect (0)     | STABLE       | PREDICTION (Stable)
109519.49    | MESON      | 1564 | Perfect (0)     | STABLE       | PREDICTION (Stable)
109530.36    | LEPTON     | 1052 | Perfect (0)     | STABLE       | PREDICTION (Stable)
109589.52    | MESON      | 1565 | Perfect (0)     | STABLE       | PREDICTION (Stable)
109619.39    | BARYON     | 701  | Perfect (0)     | STABLE       | PREDICTION (Stable)
109632.67    | BARYON     | 691  | Sphere (+2.0)   | 1.4e-20      | PREDICTION (Resonance)
109634.48    | LEPTON     | 1053 | Perfect (0)     | STABLE       | PREDICTION (Stable)
109659.54    | MESON      | 1566 | Perfect (0)     | STABLE       | PREDICTION (Stable)
109729.57    | MESON      | 1567 | Perfect (0)     | STABLE       | PREDICTION (Stable)
109738.60    | LEPTON     | 1054 | Perfect (0)     | STABLE       | PREDICTION (Stable)
109775.77    | BARYON     | 702  | Perfect (0)     | STABLE       | PREDICTION (Stable)
109799.59    | MESON      | 1568 | Perfect (0)     | STABLE       | PREDICTION (Stable)
109842.71    | LEPTON     | 1055 | Perfect (0)     | STABLE       | PREDICTION (Stable)
109869.62    | MESON      | 1569 | Perfect (0)     | STABLE       | PREDICTION (Stable)
109932.14    | BARYON     | 703  | Perfect (0)     | STABLE       | PREDICTION (Stable)
109939.65    | MESON      | 1570 | Perfect (0)     | STABLE       | PREDICTION (Stable)
109946.83    | LEPTON     | 1056 | Perfect (0)     | STABLE       | PREDICTION (Stable)
110009.67    | MESON      | 1571 | Perfect (0)     | STABLE       | PREDICTION (Stable)
110019.36    | BARYON     | 701  | Spinor (+0.5)   | 5.2e-20      | PREDICTION (Resonance)
110050.94    | LEPTON     | 1057 | Perfect (0)     | STABLE       | PREDICTION (Stable)
110061.34    | BARYON     | 709  | Vector (-1.0)   | 2.4e-20      | PREDICTION (Resonance)
110079.70    | MESON      | 1572 | Perfect (0)     | STABLE       | PREDICTION (Stable)
110088.52    | BARYON     | 704  | Perfect (0)     | STABLE       | PREDICTION (Stable)
110149.72    | MESON      | 1573 | Perfect (0)     | STABLE       | PREDICTION (Stable)
110155.06    | LEPTON     | 1058 | Perfect (0)     | STABLE       | PREDICTION (Stable)
110219.75    | MESON      | 1574 | Perfect (0)     | STABLE       | PREDICTION (Stable)
110244.90    | BARYON     | 705  | Perfect (0)     | STABLE       | PREDICTION (Stable)
110259.18    | LEPTON     | 1059 | Perfect (0)     | STABLE       | PREDICTION (Stable)
110289.77    | MESON      | 1575 | Perfect (0)     | STABLE       | PREDICTION (Stable)
110359.80    | MESON      | 1576 | Perfect (0)     | STABLE       | PREDICTION (Stable)
110363.29    | LEPTON     | 1060 | Perfect (0)     | STABLE       | PREDICTION (Stable)
110401.27    | BARYON     | 706  | Perfect (0)     | STABLE       | PREDICTION (Stable)
110419.32    | BARYON     | 701  | Vector (+1.0)   | 2.6e-20      | PREDICTION (Resonance)
110429.82    | MESON      | 1577 | Perfect (0)     | STABLE       | PREDICTION (Stable)
110465.87    | BARYON     | 709  | Spinor (-0.5)   | 4.9e-20      | PREDICTION (Resonance)
110467.41    | LEPTON     | 1061 | Perfect (0)     | STABLE       | PREDICTION (Stable)
110499.85    | MESON      | 1578 | Perfect (0)     | STABLE       | PREDICTION (Stable)
110557.65    | BARYON     | 707  | Perfect (0)     | STABLE       | PREDICTION (Stable)
110569.87    | MESON      | 1579 | Perfect (0)     | STABLE       | PREDICTION (Stable)
110571.53    | LEPTON     | 1062 | Perfect (0)     | STABLE       | PREDICTION (Stable)
110639.90    | MESON      | 1580 | Perfect (0)     | STABLE       | PREDICTION (Stable)
110675.64    | LEPTON     | 1063 | Perfect (0)     | STABLE       | PREDICTION (Stable)
110709.92    | MESON      | 1581 | Perfect (0)     | STABLE       | PREDICTION (Stable)
110714.02    | BARYON     | 708  | Perfect (0)     | STABLE       | PREDICTION (Stable)
110779.76    | LEPTON     | 1064 | Perfect (0)     | STABLE       | PREDICTION (Stable)
110779.95    | MESON      | 1582 | Perfect (0)     | STABLE       | PREDICTION (Stable)
110793.21    | BARYON     | 719  | Sphere (-2.0)   | 1.1e-20      | PREDICTION (Resonance)
110849.97    | MESON      | 1583 | Perfect (0)     | STABLE       | PREDICTION (Stable)
110870.40    | BARYON     | 709  | Perfect (0)     | STABLE       | PREDICTION (Stable)
110883.88    | LEPTON     | 1065 | Perfect (0)     | STABLE       | PREDICTION (Stable)
110920.00    | MESON      | 1584 | Perfect (0)     | STABLE       | PREDICTION (Stable)
110987.99    | LEPTON     | 1066 | Perfect (0)     | STABLE       | PREDICTION (Stable)
110990.02    | MESON      | 1585 | Perfect (0)     | STABLE       | PREDICTION (Stable)
111026.77    | BARYON     | 710  | Perfect (0)     | STABLE       | PREDICTION (Stable)
111060.05    | MESON      | 1586 | Perfect (0)     | STABLE       | PREDICTION (Stable)
111092.11    | LEPTON     | 1067 | Perfect (0)     | STABLE       | PREDICTION (Stable)
111130.07    | MESON      | 1587 | Perfect (0)     | STABLE       | PREDICTION (Stable)
111183.15    | BARYON     | 711  | Perfect (0)     | STABLE       | PREDICTION (Stable)
111196.22    | LEPTON     | 1068 | Perfect (0)     | STABLE       | PREDICTION (Stable)
111200.10    | MESON      | 1588 | Perfect (0)     | STABLE       | PREDICTION (Stable)
111219.25    | BARYON     | 701  | Sphere (+2.0)   | 1.3e-20      | PREDICTION (Resonance)
111270.12    | MESON      | 1589 | Perfect (0)     | STABLE       | PREDICTION (Stable)
111274.93    | BARYON     | 709  | Spinor (+0.5)   | 4.9e-20      | PREDICTION (Resonance)
111300.34    | LEPTON     | 1069 | Perfect (0)     | STABLE       | PREDICTION (Stable)
111339.53    | BARYON     | 712  | Perfect (0)     | STABLE       | PREDICTION (Stable)
111340.15    | MESON      | 1590 | Perfect (0)     | STABLE       | PREDICTION (Stable)
111404.46    | LEPTON     | 1070 | Perfect (0)     | STABLE       | PREDICTION (Stable)
111410.18    | MESON      | 1591 | Perfect (0)     | STABLE       | PREDICTION (Stable)
111480.20    | MESON      | 1592 | Perfect (0)     | STABLE       | PREDICTION (Stable)
111495.90    | BARYON     | 713  | Perfect (0)     | STABLE       | PREDICTION (Stable)
111508.57    | LEPTON     | 1071 | Perfect (0)     | STABLE       | PREDICTION (Stable)
111550.23    | MESON      | 1593 | Perfect (0)     | STABLE       | PREDICTION (Stable)
111612.69    | LEPTON     | 1072 | Perfect (0)     | STABLE       | PREDICTION (Stable)
111613.68    | BARYON     | 719  | Vector (-1.0)   | 2.3e-20      | PREDICTION (Resonance)
111620.25    | MESON      | 1594 | Perfect (0)     | STABLE       | PREDICTION (Stable)
111652.28    | BARYON     | 714  | Perfect (0)     | STABLE       | PREDICTION (Stable)
111679.46    | BARYON     | 709  | Vector (+1.0)   | 2.5e-20      | PREDICTION (Resonance)
111690.28    | MESON      | 1595 | Perfect (0)     | STABLE       | PREDICTION (Stable)
111716.81    | LEPTON     | 1073 | Perfect (0)     | STABLE       | PREDICTION (Stable)
111760.30    | MESON      | 1596 | Perfect (0)     | STABLE       | PREDICTION (Stable)
111808.65    | BARYON     | 715  | Perfect (0)     | STABLE       | PREDICTION (Stable)
111820.92    | LEPTON     | 1074 | Perfect (0)     | STABLE       | PREDICTION (Stable)
111830.33    | MESON      | 1597 | Perfect (0)     | STABLE       | PREDICTION (Stable)
111900.35    | MESON      | 1598 | Perfect (0)     | STABLE       | PREDICTION (Stable)
111925.04    | LEPTON     | 1075 | Perfect (0)     | STABLE       | PREDICTION (Stable)
111965.03    | BARYON     | 716  | Perfect (0)     | STABLE       | PREDICTION (Stable)
111970.38    | MESON      | 1599 | Perfect (0)     | STABLE       | PREDICTION (Stable)
112023.92    | BARYON     | 719  | Spinor (-0.5)   | 4.5e-20      | PREDICTION (Resonance)
112025.96    | BARYON     | 727  | Sphere (-2.0)   | 1.1e-20      | PREDICTION (Resonance)
112029.15    | LEPTON     | 1076 | Perfect (0)     | STABLE       | PREDICTION (Stable)
112040.40    | MESON      | 1600 | Perfect (0)     | STABLE       | PREDICTION (Stable)
112110.43    | MESON      | 1601 | Perfect (0)     | STABLE       | PREDICTION (Stable)
112121.40    | BARYON     | 717  | Perfect (0)     | STABLE       | PREDICTION (Stable)
112133.27    | LEPTON     | 1077 | Perfect (0)     | STABLE       | PREDICTION (Stable)
112180.45    | MESON      | 1602 | Perfect (0)     | STABLE       | PREDICTION (Stable)
112237.39    | LEPTON     | 1078 | Perfect (0)     | STABLE       | PREDICTION (Stable)
112250.48    | MESON      | 1603 | Perfect (0)     | STABLE       | PREDICTION (Stable)
112277.78    | BARYON     | 718  | Perfect (0)     | STABLE       | PREDICTION (Stable)
112320.50    | MESON      | 1604 | Perfect (0)     | STABLE       | PREDICTION (Stable)
112341.50    | LEPTON     | 1079 | Perfect (0)     | STABLE       | PREDICTION (Stable)
112390.53    | MESON      | 1605 | Perfect (0)     | STABLE       | PREDICTION (Stable)
112434.16    | BARYON     | 719  | Perfect (0)     | STABLE       | PREDICTION (Stable)
112445.62    | LEPTON     | 1080 | Perfect (0)     | STABLE       | PREDICTION (Stable)
112460.55    | MESON      | 1606 | Perfect (0)     | STABLE       | PREDICTION (Stable)
112488.52    | BARYON     | 709  | Sphere (+2.0)   | 1.2e-20      | PREDICTION (Resonance)
112530.58    | MESON      | 1607 | Perfect (0)     | STABLE       | PREDICTION (Stable)
112549.74    | LEPTON     | 1081 | Perfect (0)     | STABLE       | PREDICTION (Stable)
112590.53    | BARYON     | 720  | Perfect (0)     | STABLE       | PREDICTION (Stable)
112600.60    | MESON      | 1608 | Perfect (0)     | STABLE       | PREDICTION (Stable)
112653.85    | LEPTON     | 1082 | Perfect (0)     | STABLE       | PREDICTION (Stable)
112670.63    | MESON      | 1609 | Perfect (0)     | STABLE       | PREDICTION (Stable)
112740.66    | MESON      | 1610 | Perfect (0)     | STABLE       | PREDICTION (Stable)
112746.91    | BARYON     | 721  | Perfect (0)     | STABLE       | PREDICTION (Stable)
112757.97    | LEPTON     | 1083 | Perfect (0)     | STABLE       | PREDICTION (Stable)
112810.68    | MESON      | 1611 | Perfect (0)     | STABLE       | PREDICTION (Stable)
112844.39    | BARYON     | 719  | Spinor (+0.5)   | 4.6e-20      | PREDICTION (Resonance)
112855.56    | BARYON     | 727  | Vector (-1.0)   | 2.2e-20      | PREDICTION (Resonance)
112862.09    | LEPTON     | 1084 | Perfect (0)     | STABLE       | PREDICTION (Stable)
112880.71    | MESON      | 1612 | Perfect (0)     | STABLE       | PREDICTION (Stable)
112903.28    | BARYON     | 722  | Perfect (0)     | STABLE       | PREDICTION (Stable)
112950.52    | BARYON     | 733  | Sphere (-2.0)   | 1.0e-20      | PREDICTION (Resonance)
112950.73    | MESON      | 1613 | Perfect (0)     | STABLE       | PREDICTION (Stable)
112966.20    | LEPTON     | 1085 | Perfect (0)     | STABLE       | PREDICTION (Stable)
113020.76    | MESON      | 1614 | Perfect (0)     | STABLE       | PREDICTION (Stable)
113059.66    | BARYON     | 723  | Perfect (0)     | STABLE       | PREDICTION (Stable)
113070.32    | LEPTON     | 1086 | Perfect (0)     | STABLE       | PREDICTION (Stable)
113090.78    | MESON      | 1615 | Perfect (0)     | STABLE       | PREDICTION (Stable)
113160.81    | MESON      | 1616 | Perfect (0)     | STABLE       | PREDICTION (Stable)
113174.43    | LEPTON     | 1087 | Perfect (0)     | STABLE       | PREDICTION (Stable)
113216.03    | BARYON     | 724  | Perfect (0)     | STABLE       | PREDICTION (Stable)
113230.83    | MESON      | 1617 | Perfect (0)     | STABLE       | PREDICTION (Stable)
113254.63    | BARYON     | 719  | Vector (+1.0)   | 2.3e-20      | PREDICTION (Resonance)
113270.36    | BARYON     | 727  | Spinor (-0.5)   | 4.3e-20      | PREDICTION (Resonance)
113278.55    | LEPTON     | 1088 | Perfect (0)     | STABLE       | PREDICTION (Stable)
113300.86    | MESON      | 1618 | Perfect (0)     | STABLE       | PREDICTION (Stable)
113370.88    | MESON      | 1619 | Perfect (0)     | STABLE       | PREDICTION (Stable)
113372.41    | BARYON     | 725  | Perfect (0)     | STABLE       | PREDICTION (Stable)
113382.67    | LEPTON     | 1089 | Perfect (0)     | STABLE       | PREDICTION (Stable)
113440.91    | MESON      | 1620 | Perfect (0)     | STABLE       | PREDICTION (Stable)
113486.78    | LEPTON     | 1090 | Perfect (0)     | STABLE       | PREDICTION (Stable)
113510.93    | MESON      | 1621 | Perfect (0)     | STABLE       | PREDICTION (Stable)
113528.79    | BARYON     | 726  | Perfect (0)     | STABLE       | PREDICTION (Stable)
113580.96    | MESON      | 1622 | Perfect (0)     | STABLE       | PREDICTION (Stable)
113590.90    | LEPTON     | 1091 | Perfect (0)     | STABLE       | PREDICTION (Stable)
113650.98    | MESON      | 1623 | Perfect (0)     | STABLE       | PREDICTION (Stable)
113685.16    | BARYON     | 727  | Perfect (0)     | STABLE       | PREDICTION (Stable)
113695.02    | LEPTON     | 1092 | Perfect (0)     | STABLE       | PREDICTION (Stable)
113721.01    | MESON      | 1624 | Perfect (0)     | STABLE       | PREDICTION (Stable)
113786.97    | BARYON     | 733  | Vector (-1.0)   | 2.1e-20      | PREDICTION (Resonance)
113791.03    | MESON      | 1625 | Perfect (0)     | STABLE       | PREDICTION (Stable)
113799.13    | LEPTON     | 1093 | Perfect (0)     | STABLE       | PREDICTION (Stable)
113841.54    | BARYON     | 728  | Perfect (0)     | STABLE       | PREDICTION (Stable)
113861.06    | MESON      | 1626 | Perfect (0)     | STABLE       | PREDICTION (Stable)
113903.25    | LEPTON     | 1094 | Perfect (0)     | STABLE       | PREDICTION (Stable)
113931.08    | MESON      | 1627 | Perfect (0)     | STABLE       | PREDICTION (Stable)
113997.91    | BARYON     | 729  | Perfect (0)     | STABLE       | PREDICTION (Stable)
114001.11    | MESON      | 1628 | Perfect (0)     | STABLE       | PREDICTION (Stable)
114007.36    | LEPTON     | 1095 | Perfect (0)     | STABLE       | PREDICTION (Stable)
114071.13    | MESON      | 1629 | Perfect (0)     | STABLE       | PREDICTION (Stable)
114075.10    | BARYON     | 719  | Sphere (+2.0)   | 1.2e-20      | PREDICTION (Resonance)
114099.96    | BARYON     | 727  | Spinor (+0.5)   | 4.3e-20      | PREDICTION (Resonance)
114111.48    | LEPTON     | 1096 | Perfect (0)     | STABLE       | PREDICTION (Stable)
114141.16    | MESON      | 1630 | Perfect (0)     | STABLE       | PREDICTION (Stable)
114154.29    | BARYON     | 730  | Perfect (0)     | STABLE       | PREDICTION (Stable)
114205.19    | BARYON     | 733  | Spinor (-0.5)   | 4.1e-20      | PREDICTION (Resonance)
114211.19    | MESON      | 1631 | Perfect (0)     | STABLE       | PREDICTION (Stable)
114215.60    | LEPTON     | 1097 | Perfect (0)     | STABLE       | PREDICTION (Stable)
114281.21    | MESON      | 1632 | Perfect (0)     | STABLE       | PREDICTION (Stable)
114310.66    | BARYON     | 731  | Perfect (0)     | STABLE       | PREDICTION (Stable)
114319.71    | LEPTON     | 1098 | Perfect (0)     | STABLE       | PREDICTION (Stable)
114351.24    | MESON      | 1633 | Perfect (0)     | STABLE       | PREDICTION (Stable)
114421.26    | MESON      | 1634 | Perfect (0)     | STABLE       | PREDICTION (Stable)
114423.83    | LEPTON     | 1099 | Perfect (0)     | STABLE       | PREDICTION (Stable)
114467.04    | BARYON     | 732  | Perfect (0)     | STABLE       | PREDICTION (Stable)
114491.29    | MESON      | 1635 | Perfect (0)     | STABLE       | PREDICTION (Stable)
114514.76    | BARYON     | 727  | Vector (+1.0)   | 2.2e-20      | PREDICTION (Resonance)
114527.95    | LEPTON     | 1100 | Perfect (0)     | STABLE       | PREDICTION (Stable)
114561.31    | MESON      | 1636 | Perfect (0)     | STABLE       | PREDICTION (Stable)
114623.42    | BARYON     | 733  | Perfect (0)     | STABLE       | PREDICTION (Stable)
114631.34    | MESON      | 1637 | Perfect (0)     | STABLE       | PREDICTION (Stable)
114632.06    | LEPTON     | 1101 | Perfect (0)     | STABLE       | PREDICTION (Stable)
114701.36    | MESON      | 1638 | Perfect (0)     | STABLE       | PREDICTION (Stable)
114718.38    | BARYON     | 739  | Vector (-1.0)   | 2.0e-20      | PREDICTION (Resonance)
114736.18    | LEPTON     | 1102 | Perfect (0)     | STABLE       | PREDICTION (Stable)
114771.39    | MESON      | 1639 | Perfect (0)     | STABLE       | PREDICTION (Stable)
114779.79    | BARYON     | 734  | Perfect (0)     | STABLE       | PREDICTION (Stable)
114840.30    | LEPTON     | 1103 | Perfect (0)     | STABLE       | PREDICTION (Stable)
114841.41    | MESON      | 1640 | Perfect (0)     | STABLE       | PREDICTION (Stable)
114911.44    | MESON      | 1641 | Perfect (0)     | STABLE       | PREDICTION (Stable)
114936.17    | BARYON     | 735  | Perfect (0)     | STABLE       | PREDICTION (Stable)
114944.41    | LEPTON     | 1104 | Perfect (0)     | STABLE       | PREDICTION (Stable)
114981.46    | MESON      | 1642 | Perfect (0)     | STABLE       | PREDICTION (Stable)
115041.64    | BARYON     | 733  | Spinor (+0.5)   | 4.1e-20      | PREDICTION (Resonance)
115048.53    | LEPTON     | 1105 | Perfect (0)     | STABLE       | PREDICTION (Stable)
115051.49    | MESON      | 1643 | Perfect (0)     | STABLE       | PREDICTION (Stable)
115092.54    | BARYON     | 736  | Perfect (0)     | STABLE       | PREDICTION (Stable)
115121.51    | MESON      | 1644 | Perfect (0)     | STABLE       | PREDICTION (Stable)
115140.02    | BARYON     | 739  | Spinor (-0.5)   | 4.0e-20      | PREDICTION (Resonance)
115152.64    | LEPTON     | 1106 | Perfect (0)     | STABLE       | PREDICTION (Stable)
115191.54    | MESON      | 1645 | Perfect (0)     | STABLE       | PREDICTION (Stable)
115248.92    | BARYON     | 737  | Perfect (0)     | STABLE       | PREDICTION (Stable)
115256.76    | LEPTON     | 1107 | Perfect (0)     | STABLE       | PREDICTION (Stable)
115261.56    | MESON      | 1646 | Perfect (0)     | STABLE       | PREDICTION (Stable)
115331.59    | MESON      | 1647 | Perfect (0)     | STABLE       | PREDICTION (Stable)
115339.31    | BARYON     | 743  | Vector (-1.0)   | 1.9e-20      | PREDICTION (Resonance)
115344.36    | BARYON     | 727  | Sphere (+2.0)   | 1.1e-20      | PREDICTION (Resonance)
115360.88    | LEPTON     | 1108 | Perfect (0)     | STABLE       | PREDICTION (Stable)
115401.61    | MESON      | 1648 | Perfect (0)     | STABLE       | PREDICTION (Stable)
115405.29    | BARYON     | 738  | Perfect (0)     | STABLE       | PREDICTION (Stable)
115459.86    | BARYON     | 733  | Vector (+1.0)   | 2.1e-20      | PREDICTION (Resonance)
115464.99    | LEPTON     | 1109 | Perfect (0)     | STABLE       | PREDICTION (Stable)
115471.64    | MESON      | 1649 | Perfect (0)     | STABLE       | PREDICTION (Stable)
115541.67    | MESON      | 1650 | Perfect (0)     | STABLE       | PREDICTION (Stable)
115561.67    | BARYON     | 739  | Perfect (0)     | STABLE       | PREDICTION (Stable)
115569.11    | LEPTON     | 1110 | Perfect (0)     | STABLE       | PREDICTION (Stable)
115611.69    | MESON      | 1651 | Perfect (0)     | STABLE       | PREDICTION (Stable)
115673.23    | LEPTON     | 1111 | Perfect (0)     | STABLE       | PREDICTION (Stable)
115681.72    | MESON      | 1652 | Perfect (0)     | STABLE       | PREDICTION (Stable)
115718.05    | BARYON     | 740  | Perfect (0)     | STABLE       | PREDICTION (Stable)
115751.74    | MESON      | 1653 | Perfect (0)     | STABLE       | PREDICTION (Stable)
115763.24    | BARYON     | 743  | Spinor (-0.5)   | 3.9e-20      | PREDICTION (Resonance)
115777.34    | LEPTON     | 1112 | Perfect (0)     | STABLE       | PREDICTION (Stable)
115821.77    | MESON      | 1654 | Perfect (0)     | STABLE       | PREDICTION (Stable)
115874.42    | BARYON     | 741  | Perfect (0)     | STABLE       | PREDICTION (Stable)
115881.46    | LEPTON     | 1113 | Perfect (0)     | STABLE       | PREDICTION (Stable)
115891.79    | MESON      | 1655 | Perfect (0)     | STABLE       | PREDICTION (Stable)
115961.82    | MESON      | 1656 | Perfect (0)     | STABLE       | PREDICTION (Stable)
115983.32    | BARYON     | 739  | Spinor (+0.5)   | 4.0e-20      | PREDICTION (Resonance)
115985.57    | LEPTON     | 1114 | Perfect (0)     | STABLE       | PREDICTION (Stable)
116030.80    | BARYON     | 742  | Perfect (0)     | STABLE       | PREDICTION (Stable)
116031.84    | MESON      | 1657 | Perfect (0)     | STABLE       | PREDICTION (Stable)
116089.69    | LEPTON     | 1115 | Perfect (0)     | STABLE       | PREDICTION (Stable)
116101.87    | MESON      | 1658 | Perfect (0)     | STABLE       | PREDICTION (Stable)
116171.89    | MESON      | 1659 | Perfect (0)     | STABLE       | PREDICTION (Stable)
116187.17    | BARYON     | 743  | Perfect (0)     | STABLE       | PREDICTION (Stable)
116193.81    | LEPTON     | 1116 | Perfect (0)     | STABLE       | PREDICTION (Stable)
116241.92    | MESON      | 1660 | Perfect (0)     | STABLE       | PREDICTION (Stable)
116296.31    | BARYON     | 733  | Sphere (+2.0)   | 1.1e-20      | PREDICTION (Resonance)
116297.92    | LEPTON     | 1117 | Perfect (0)     | STABLE       | PREDICTION (Stable)
116311.94    | MESON      | 1661 | Perfect (0)     | STABLE       | PREDICTION (Stable)
116343.55    | BARYON     | 744  | Perfect (0)     | STABLE       | PREDICTION (Stable)
116381.97    | MESON      | 1662 | Perfect (0)     | STABLE       | PREDICTION (Stable)
116402.04    | LEPTON     | 1118 | Perfect (0)     | STABLE       | PREDICTION (Stable)
116404.96    | BARYON     | 739  | Vector (+1.0)   | 2.0e-20      | PREDICTION (Resonance)
116451.99    | MESON      | 1663 | Perfect (0)     | STABLE       | PREDICTION (Stable)
116499.92    | BARYON     | 745  | Perfect (0)     | STABLE       | PREDICTION (Stable)
116506.16    | LEPTON     | 1119 | Perfect (0)     | STABLE       | PREDICTION (Stable)
116522.02    | MESON      | 1664 | Perfect (0)     | STABLE       | PREDICTION (Stable)
116581.19    | BARYON     | 751  | Vector (-1.0)   | 1.8e-20      | PREDICTION (Resonance)
116592.04    | MESON      | 1665 | Perfect (0)     | STABLE       | PREDICTION (Stable)
116610.27    | LEPTON     | 1120 | Perfect (0)     | STABLE       | PREDICTION (Stable)
116611.10    | BARYON     | 743  | Spinor (+0.5)   | 3.9e-20      | PREDICTION (Resonance)
116656.30    | BARYON     | 746  | Perfect (0)     | STABLE       | PREDICTION (Stable)
116662.07    | MESON      | 1666 | Perfect (0)     | STABLE       | PREDICTION (Stable)
116714.39    | LEPTON     | 1121 | Perfect (0)     | STABLE       | PREDICTION (Stable)
116732.09    | MESON      | 1667 | Perfect (0)     | STABLE       | PREDICTION (Stable)
116802.12    | MESON      | 1668 | Perfect (0)     | STABLE       | PREDICTION (Stable)
116812.68    | BARYON     | 747  | Perfect (0)     | STABLE       | PREDICTION (Stable)
116818.51    | LEPTON     | 1122 | Perfect (0)     | STABLE       | PREDICTION (Stable)
116872.14    | MESON      | 1669 | Perfect (0)     | STABLE       | PREDICTION (Stable)
116922.62    | LEPTON     | 1123 | Perfect (0)     | STABLE       | PREDICTION (Stable)
116942.17    | MESON      | 1670 | Perfect (0)     | STABLE       | PREDICTION (Stable)
116969.05    | BARYON     | 748  | Perfect (0)     | STABLE       | PREDICTION (Stable)
117009.69    | BARYON     | 751  | Spinor (-0.5)   | 3.7e-20      | PREDICTION (Resonance)
117012.20    | MESON      | 1671 | Perfect (0)     | STABLE       | PREDICTION (Stable)
117026.74    | LEPTON     | 1124 | Perfect (0)     | STABLE       | PREDICTION (Stable)
117035.03    | BARYON     | 743  | Vector (+1.0)   | 1.9e-20      | PREDICTION (Resonance)
117082.22    | MESON      | 1672 | Perfect (0)     | STABLE       | PREDICTION (Stable)
117125.43    | BARYON     | 749  | Perfect (0)     | STABLE       | PREDICTION (Stable)
117130.85    | LEPTON     | 1125 | Perfect (0)     | STABLE       | PREDICTION (Stable)
117152.25    | MESON      | 1673 | Perfect (0)     | STABLE       | PREDICTION (Stable)
117222.27    | MESON      | 1674 | Perfect (0)     | STABLE       | PREDICTION (Stable)
117234.97    | LEPTON     | 1126 | Perfect (0)     | STABLE       | PREDICTION (Stable)
117248.26    | BARYON     | 739  | Sphere (+2.0)   | 1.0e-20      | PREDICTION (Resonance)
117281.80    | BARYON     | 750  | Perfect (0)     | STABLE       | PREDICTION (Stable)
117292.30    | MESON      | 1675 | Perfect (0)     | STABLE       | PREDICTION (Stable)
117339.09    | LEPTON     | 1127 | Perfect (0)     | STABLE       | PREDICTION (Stable)
117362.32    | MESON      | 1676 | Perfect (0)     | STABLE       | PREDICTION (Stable)
117432.35    | MESON      | 1677 | Perfect (0)     | STABLE       | PREDICTION (Stable)
117438.18    | BARYON     | 751  | Perfect (0)     | STABLE       | PREDICTION (Stable)
117443.20    | LEPTON     | 1128 | Perfect (0)     | STABLE       | PREDICTION (Stable)
117502.37    | MESON      | 1678 | Perfect (0)     | STABLE       | PREDICTION (Stable)
117512.60    | BARYON     | 757  | Vector (-1.0)   | 1.8e-20      | PREDICTION (Resonance)
117547.32    | LEPTON     | 1129 | Perfect (0)     | STABLE       | PREDICTION (Stable)
117572.40    | MESON      | 1679 | Perfect (0)     | STABLE       | PREDICTION (Stable)
117594.55    | BARYON     | 752  | Perfect (0)     | STABLE       | PREDICTION (Stable)
117642.42    | MESON      | 1680 | Perfect (0)     | STABLE       | PREDICTION (Stable)
117651.44    | LEPTON     | 1130 | Perfect (0)     | STABLE       | PREDICTION (Stable)
117712.45    | MESON      | 1681 | Perfect (0)     | STABLE       | PREDICTION (Stable)
117750.93    | BARYON     | 753  | Perfect (0)     | STABLE       | PREDICTION (Stable)
117755.55    | LEPTON     | 1131 | Perfect (0)     | STABLE       | PREDICTION (Stable)
117782.47    | MESON      | 1682 | Perfect (0)     | STABLE       | PREDICTION (Stable)
117852.50    | MESON      | 1683 | Perfect (0)     | STABLE       | PREDICTION (Stable)
117859.67    | LEPTON     | 1132 | Perfect (0)     | STABLE       | PREDICTION (Stable)
117866.67    | BARYON     | 751  | Spinor (+0.5)   | 3.7e-20      | PREDICTION (Resonance)
117907.31    | BARYON     | 754  | Perfect (0)     | STABLE       | PREDICTION (Stable)
117922.52    | MESON      | 1684 | Perfect (0)     | STABLE       | PREDICTION (Stable)
117944.52    | BARYON     | 757  | Spinor (-0.5)   | 3.5e-20      | PREDICTION (Resonance)
117963.78    | LEPTON     | 1133 | Perfect (0)     | STABLE       | PREDICTION (Stable)
117992.55    | MESON      | 1685 | Perfect (0)     | STABLE       | PREDICTION (Stable)
118062.57    | MESON      | 1686 | Perfect (0)     | STABLE       | PREDICTION (Stable)
118063.68    | BARYON     | 755  | Perfect (0)     | STABLE       | PREDICTION (Stable)
118067.90    | LEPTON     | 1134 | Perfect (0)     | STABLE       | PREDICTION (Stable)
118132.60    | MESON      | 1687 | Perfect (0)     | STABLE       | PREDICTION (Stable)
118133.54    | BARYON     | 761  | Vector (-1.0)   | 1.7e-20      | PREDICTION (Resonance)
118172.02    | LEPTON     | 1135 | Perfect (0)     | STABLE       | PREDICTION (Stable)
118202.62    | MESON      | 1688 | Perfect (0)     | STABLE       | PREDICTION (Stable)
118220.06    | BARYON     | 756  | Perfect (0)     | STABLE       | PREDICTION (Stable)
118272.65    | MESON      | 1689 | Perfect (0)     | STABLE       | PREDICTION (Stable)
118276.13    | LEPTON     | 1136 | Perfect (0)     | STABLE       | PREDICTION (Stable)
118295.17    | BARYON     | 751  | Vector (+1.0)   | 1.8e-20      | PREDICTION (Resonance)
118342.68    | MESON      | 1690 | Perfect (0)     | STABLE       | PREDICTION (Stable)
118376.43    | BARYON     | 757  | Perfect (0)     | STABLE       | PREDICTION (Stable)
