MASS (MeV)   | SCALE      | k    | TOPOLOGY        | LIFETIME (s) | STATUS
59045.24     | LEPTON     | 563  | Vector (+1.0)   | 7.8e-20      | PREDICTION (Resonance)
59050.16     | BARYON     | 379  | Spinor (-0.5)   | 1.1e-18      | PREDICTION (Resonance)
59101.31     | MESON      | 844  | Perfect (0)     | STABLE       | PREDICTION (Stable)
59110.03     | BARYON     | 378  | Perfect (0)     | STABLE       | PREDICTION (Stable)
59138.07     | LEPTON     | 568  | Perfect (0)     | STABLE       | PREDICTION (Stable)
59171.34     | MESON      | 845  | Perfect (0)     | STABLE       | PREDICTION (Stable)
59179.43     | BARYON     | 373  | Sphere (+2.0)   | 3.1e-19      | PREDICTION (Resonance)
59198.34     | LEPTON     | 577  | Sphere (-2.0)   | 3.4e-20      | PREDICTION (Resonance)
59233.50     | LEPTON     | 571  | Spinor (-0.5)   | 1.4e-19      | PREDICTION (Resonance)
59241.36     | MESON      | 846  | Perfect (0)     | STABLE       | PREDICTION (Stable)
59242.18     | LEPTON     | 569  | Perfect (0)     | STABLE       | PREDICTION (Stable)
59266.40     | BARYON     | 379  | Perfect (0)     | STABLE       | PREDICTION (Stable)
59311.39     | MESON      | 847  | Perfect (0)     | STABLE       | PREDICTION (Stable)
59346.30     | LEPTON     | 570  | Perfect (0)     | STABLE       | PREDICTION (Stable)
59381.41     | MESON      | 848  | Perfect (0)     | STABLE       | PREDICTION (Stable)
59422.78     | BARYON     | 380  | Perfect (0)     | STABLE       | PREDICTION (Stable)
59450.42     | LEPTON     | 571  | Perfect (0)     | STABLE       | PREDICTION (Stable)
59451.44     | MESON      | 849  | Perfect (0)     | STABLE       | PREDICTION (Stable)
59454.86     | BARYON     | 383  | Vector (-1.0)   | 5.3e-19      | PREDICTION (Resonance)
59458.34     | LEPTON     | 569  | Spinor (+0.5)   | 1.5e-19      | PREDICTION (Resonance)
59472.99     | LEPTON     | 563  | Sphere (+2.0)   | 3.9e-20      | PREDICTION (Resonance)
59482.65     | BARYON     | 379  | Spinor (+0.5)   | 1.1e-18      | PREDICTION (Resonance)
59521.46     | MESON      | 850  | Perfect (0)     | STABLE       | PREDICTION (Stable)
59554.53     | LEPTON     | 572  | Perfect (0)     | STABLE       | PREDICTION (Stable)
59579.16     | BARYON     | 381  | Perfect (0)     | STABLE       | PREDICTION (Stable)
59591.49     | MESON      | 851  | Perfect (0)     | STABLE       | PREDICTION (Stable)
59636.72     | LEPTON     | 577  | Vector (-1.0)   | 6.8e-20      | PREDICTION (Resonance)
59658.65     | LEPTON     | 573  | Perfect (0)     | STABLE       | PREDICTION (Stable)
59661.51     | MESON      | 852  | Perfect (0)     | STABLE       | PREDICTION (Stable)
59667.33     | LEPTON     | 571  | Spinor (+0.5)   | 1.4e-19      | PREDICTION (Resonance)
59673.38     | BARYON     | 383  | Spinor (-0.5)   | 1.1e-18      | PREDICTION (Resonance)
59674.49     | LEPTON     | 569  | Vector (+1.0)   | 7.4e-20      | PREDICTION (Resonance)
59698.89     | BARYON     | 379  | Vector (+1.0)   | 5.6e-19      | PREDICTION (Resonance)
59731.54     | MESON      | 853  | Perfect (0)     | STABLE       | PREDICTION (Stable)
59735.53     | BARYON     | 382  | Perfect (0)     | STABLE       | PREDICTION (Stable)
59762.76     | LEPTON     | 574  | Perfect (0)     | STABLE       | PREDICTION (Stable)
59801.56     | MESON      | 854  | Perfect (0)     | STABLE       | PREDICTION (Stable)
59855.92     | LEPTON     | 577  | Spinor (-0.5)   | 1.4e-19      | PREDICTION (Resonance)
59866.88     | LEPTON     | 575  | Perfect (0)     | STABLE       | PREDICTION (Stable)
59871.59     | MESON      | 855  | Perfect (0)     | STABLE       | PREDICTION (Stable)
59884.25     | LEPTON     | 571  | Vector (+1.0)   | 7.3e-20      | PREDICTION (Resonance)
59891.91     | BARYON     | 383  | Perfect (0)     | STABLE       | PREDICTION (Stable)
59941.62     | MESON      | 856  | Perfect (0)     | STABLE       | PREDICTION (Stable)
59942.36     | BARYON     | 389  | Sphere (-2.0)   | 2.5e-19      | PREDICTION (Resonance)
59971.00     | LEPTON     | 576  | Perfect (0)     | STABLE       | PREDICTION (Stable)
60011.64     | MESON      | 857  | Perfect (0)     | STABLE       | PREDICTION (Stable)
60048.28     | BARYON     | 384  | Perfect (0)     | STABLE       | PREDICTION (Stable)
60075.11     | LEPTON     | 577  | Perfect (0)     | STABLE       | PREDICTION (Stable)
60081.67     | MESON      | 858  | Perfect (0)     | STABLE       | PREDICTION (Stable)
60106.81     | LEPTON     | 569  | Sphere (+2.0)   | 3.7e-20      | PREDICTION (Resonance)
60110.43     | BARYON     | 383  | Spinor (+0.5)   | 1.1e-18      | PREDICTION (Resonance)
60131.38     | BARYON     | 379  | Sphere (+2.0)   | 2.8e-19      | PREDICTION (Resonance)
60151.69     | MESON      | 859  | Perfect (0)     | STABLE       | PREDICTION (Stable)
