AUDIT GEOMETRICKÉ TEORIE - 175 GALAXIÍ
============================================================
NGC3769: Newton Err=38.65, Geom Err=37.24, Zlepšení=3.6%
NGC0891: Newton Err=69.65, Geom Err=93.75, Zlepšení=-34.6%
F563-1: Newton Err=57.24, Geom Err=14.10, Zlepšení=75.4%
F579-V1: Newton Err=38.68, Geom Err=15.23, Zlepšení=60.6%
UGC01230: Newton Err=43.74, Geom Err=20.07, Zlepšení=54.1%
UGC04483: Newton Err=7.08, Geom Err=6.27, Zlepšení=11.4%
UGC07399: Newton Err=50.95, Geom Err=20.50, Zlepšení=59.8%
UGC02023: Newton Err=8.85, Geom Err=21.26, Zlepšení=-140.3%
UGC05005: Newton Err=33.61, Geom Err=22.50, Zlepšení=33.1%
D512-2: Newton Err=12.49, Geom Err=11.90, Zlepšení=4.8%
DDO064: Newton Err=14.64, Geom Err=5.83, Zlepšení=60.2%
NGC0289: Newton Err=55.65, Geom Err=48.22, Zlepšení=13.4%
UGC07603: Newton Err=25.75, Geom Err=5.35, Zlepšení=79.2%
UGC04499: Newton Err=21.50, Geom Err=15.38, Zlepšení=28.4%
UGC12732: Newton Err=38.57, Geom Err=7.01, Zlepšení=81.8%
NGC1090: Newton Err=25.69, Geom Err=49.17, Zlepšení=-91.4%
D631-7: Newton Err=24.59, Geom Err=12.29, Zlepšení=50.0%

GLOBÁLNÍ VÝSLEDEK:
------------------
Průměrná odchylka (Klasický Newton):   33.72 km/s
Průměrná odchylka (Tvá Teorie):        28.79 km/s
CELKOVÉ ZLEPŠENÍ PŘESNOSTI:            14.62 %
