SIMULATION LOG - STABLE CANDIDATES ONLY
VACUUM_FREQ: 137.035999
------------------------------------------------------------
FREQ_HZ      | RATIO (w/vac)   | MAX_STRAIN   | STATUS
11.8249      | 0.086290        | 0.999850     | STABLE
11.8548      | 0.086509        | 0.999764     | STABLE
11.8847      | 0.086727        | 0.999824     | STABLE
11.9146      | 0.086945        | 0.999981     | STABLE
11.9445      | 0.087163        | 0.999986     | STABLE
11.9744      | 0.087381        | 0.999806     | STABLE
12.0043      | 0.087600        | 0.999811     | STABLE
12.0342      | 0.087818        | 0.999930     | STABLE
12.0641      | 0.088036        | 0.999794     | STABLE
12.0940      | 0.088254        | 0.999981     | STABLE
12.1239      | 0.088472        | 0.999989     | STABLE
12.1538      | 0.088691        | 0.999901     | STABLE
12.1837      | 0.088909        | 0.999823     | STABLE
12.2136      | 0.089127        | 0.999758     | STABLE
12.2435      | 0.089345        | 0.999976     | STABLE
12.2734      | 0.089564        | 0.999990     | STABLE
12.3033      | 0.089782        | 0.999902     | STABLE
12.3332      | 0.090000        | 0.999930     | STABLE
12.3631      | 0.090218        | 0.999916     | STABLE
12.3930      | 0.090436        | 0.999549     | STABLE
12.4229      | 0.090655        | 0.999772     | STABLE
12.4528      | 0.090873        | 0.999931     | STABLE
12.4827      | 0.091091        | 0.999846     | STABLE
12.5127      | 0.091309        | 0.999780     | STABLE
12.5426      | 0.091527        | 0.999878     | STABLE
12.5725      | 0.091746        | 0.999264     | STABLE
12.6024      | 0.091964        | 0.999970     | STABLE
12.6323      | 0.092182        | 0.999914     | STABLE
12.6622      | 0.092400        | 0.999702     | STABLE
12.6921      | 0.092619        | 0.999798     | STABLE
12.7220      | 0.092837        | 0.999954     | STABLE
12.7519      | 0.093055        | 0.999771     | STABLE
12.7818      | 0.093273        | 0.999733     | STABLE
12.8117      | 0.093491        | 0.999938     | STABLE
12.8416      | 0.093710        | 0.999848     | STABLE
12.8715      | 0.093928        | 0.999925     | STABLE
12.9014      | 0.094146        | 0.999818     | STABLE
12.9313      | 0.094364        | 0.999303     | STABLE
12.9612      | 0.094582        | 0.999934     | STABLE
12.9911      | 0.094801        | 0.999832     | STABLE
13.0210      | 0.095019        | 0.999797     | STABLE
13.0509      | 0.095237        | 0.999081     | STABLE
13.0808      | 0.095455        | 0.999992     | STABLE
13.1107      | 0.095673        | 0.999955     | STABLE
13.1406      | 0.095892        | 0.999878     | STABLE
13.1705      | 0.096110        | 0.999839     | STABLE
13.2004      | 0.096328        | 0.999883     | STABLE
13.2303      | 0.096546        | 0.999982     | STABLE
13.2602      | 0.096765        | 0.999896     | STABLE
13.2901      | 0.096983        | 0.999997     | STABLE
13.3200      | 0.097201        | 0.999866     | STABLE
13.3499      | 0.097419        | 0.999976     | STABLE
13.3798      | 0.097637        | 0.999988     | STABLE
13.4097      | 0.097856        | 0.999901     | STABLE
