DIMENSIONALLY CORRECT EQUATIONS (dps=50)
Sorted by: Target Variable -> Lowest Error
------------------------------------------------------------------------------------------------------------------------
0.000e+00 | Len: 11 | Z_0        | three one + two - half c * * mu_0 *
0.000e+00 | Len: 07 | Z_0        | c mu_0 * half half + ^
0.000e+00 | Len: 09 | Z_0        | two one / two mu_0 c * / /
0.000e+00 | Len: 07 | Z_0        | pi c pi / * mu_0 *
0.000e+00 | Len: 11 | Z_0        | two pi half pi mu_0 c * / / * *
0.000e+00 | Len: 09 | Z_0        | c mu_0 * pi one ^ pi / ^
0.000e+00 | Len: 09 | Z_0        | c mu_0 * three two one * - /
0.000e+00 | Len: 09 | Z_0        | one half phi + ^ mu_0 c * *
1.816e-51 | Len: 09 | Z_0        | G m_Pl two ^ mu_0 * * hbar /
1.816e-51 | Len: 09 | Z_0        | sqrt_2 two ^ half mu_0 * * c *
1.202e-14 | Len: 11 | Z_0        | mu_0 c * K_J half phi_0 half * / / *
2.174e-14 | Len: 05 | Z_0        | mu_0 epsilon_0 / half ^
2.174e-14 | Len: 07 | Z_0        | mu_0 epsilon_0 / half one * ^
4.322e-14 | Len: 09 | Z_0        | R_K half * epsilon_0 G_0 c / / /
4.348e-14 | Len: 09 | Z_0        | two two / e_math ^ c epsilon_0 * /
4.348e-14 | Len: 09 | Z_0        | three two one + / epsilon_0 c * /
4.348e-14 | Len: 07 | Z_0        | sqrt_2 epsilon_0 c sqrt_2 * * /
4.348e-14 | Len: 11 | Z_0        | half half * three three - ^ c / epsilon_0 /
4.348e-14 | Len: 07 | Z_0        | three epsilon_0 c three * * /
4.348e-14 | Len: 09 | Z_0        | one one + c two * epsilon_0 * /
2.820e-12 | Len: 09 | Z_0        | mu_0 m_e alpha * / a_0 hbar / /
3.010e-12 | Len: 09 | Z_0        | half alpha R_K * epsilon_0 mu_0 / * /
3.041e-12 | Len: 09 | Z_0        | phi_0 alpha R_K K_J * * half / *
3.046e-12 | Len: 11 | Z_0        | R_K K_J * one * alpha * h * e_charge /
3.049e-12 | Len: 09 | Z_0        | two phi_0 * half / e_charge / alpha *
3.049e-12 | Len: 09 | Z_0        | alpha phi_0 phi_0 + half e_charge * / *
3.049e-12 | Len: 11 | Z_0        | phi_0 two e_charge alpha / two one / / / *
3.053e-12 | Len: 07 | Z_0        | R_K alpha * G_0 R_K * *
3.053e-12 | Len: 05 | Z_0        | alpha alpha + R_K *
3.053e-12 | Len: 05 | Z_0        | alpha R_K two * *
3.053e-12 | Len: 07 | Z_0        | R_K R_K + alpha one ^ *
3.053e-12 | Len: 09 | Z_0        | two R_K alpha one ^ * one / *
3.053e-12 | Len: 09 | Z_0        | alpha half / phi * R_K phi / *
3.053e-12 | Len: 09 | Z_0        | alpha two * phi phi - - R_K *
3.053e-12 | Len: 09 | Z_0        | sqrt_2 R_K one alpha * * * sqrt_2 *
3.053e-12 | Len: 09 | Z_0        | alpha hbar R_K / pi * / h *
3.053e-12 | Len: 09 | Z_0        | alpha pi / two * pi R_K * *
3.053e-12 | Len: 07 | Z_0        | R_K alpha sqrt_2 two ^ * *
3.053e-12 | Len: 11 | Z_0        | alpha R_K three one half e_math ^ ^ - * *
3.053e-12 | Len: 09 | Z_0        | alpha R_K e_math / * half e_math / /
3.053e-12 | Len: 09 | Z_0        | two alpha R_K * * one e_math ^ *
3.053e-12 | Len: 11 | Z_0        | two R_K * one pi sqrt_2 ^ ^ / alpha *
3.053e-12 | Len: 07 | Z_0        | R_K alpha sqrt_2 * * sqrt_2 *
3.053e-12 | Len: 11 | Z_0        | R_K alpha * one pi ^ two half * + *
3.053e-12 | Len: 09 | Z_0        | alpha e_math / R_K two e_math * * *
3.053e-12 | Len: 11 | Z_0        | R_K alpha * two two half * one / / *
3.053e-12 | Len: 11 | Z_0        | R_K two one alpha / * one three + / /
3.053e-12 | Len: 09 | Z_0        | R_K alpha * three one + half * *
3.053e-12 | Len: 09 | Z_0        | alpha three half * / R_K three * *
3.053e-12 | Len: 11 | Z_0        | alpha sqrt_3 two ^ three - + alpha + R_K *
3.053e-12 | Len: 09 | Z_0        | R_K alpha * three * three / two *
3.053e-12 | Len: 11 | Z_0        | one R_K * half alpha / pi * / pi *
3.053e-12 | Len: 09 | Z_0        | R_K half / alpha sqrt_2 sqrt_2 / ^ *
3.053e-12 | Len: 09 | Z_0        | R_K three two half * - alpha * *
3.053e-12 | Len: 09 | Z_0        | R_K alpha one sqrt_3 ^ / two * *
3.054e-12 | Len: 11 | Z_0        | sqrt_2 alpha two * G_0 half half ^ * / *
3.054e-12 | Len: 07 | Z_0        | alpha half half * G_0 * /
3.054e-12 | Len: 09 | Z_0        | alpha half one G_0 * half * * /
3.054e-12 | Len: 11 | Z_0        | one half ^ three + alpha * one G_0 * /
3.054e-12 | Len: 07 | Z_0        | alpha half two / / G_0 /
3.054e-12 | Len: 07 | Z_0        | alpha alpha three * + G_0 /
3.054e-12 | Len: 11 | Z_0        | phi two alpha G_0 / half phi * / * *
3.054e-12 | Len: 11 | Z_0        | two two * G_0 one / / one alpha * *
3.054e-12 | Len: 11 | Z_0        | pi pi + alpha half / * G_0 / pi /
3.054e-12 | Len: 07 | Z_0        | alpha one three + G_0 / *
3.054e-12 | Len: 09 | Z_0        | one two alpha * * half G_0 * /
3.054e-12 | Len: 11 | Z_0        | alpha half three G_0 three / * half * * /
3.054e-12 | Len: 09 | Z_0        | two alpha * G_0 three one - / /
3.054e-12 | Len: 11 | Z_0        | one pi - three pi + + alpha * G_0 /
3.061e-12 | Len: 09 | Z_0        | alpha e_charge K_J * two two * / /
3.061e-12 | Len: 09 | Z_0        | alpha e_charge / K_J / half / half /
4.993e-12 | Len: 09 | Z_0        | r_e two mu_B phi_0 / c / / *
5.396e-12 | Len: 11 | Z_0        | half half + lambda_C m_e h / mu_0 / * /
4.448e-07 | Len: 11 | Z_0        | alpha R_K half pi alpha three ^ ^ / / *
1.327e-05 | Len: 11 | Z_0        | alpha two * alpha pi ^ - G_0 half * /
8.740e-13 | Len: 11 | a_0        | one half * R_inf / pi / alpha * two /
8.740e-13 | Len: 11 | a_0        | alpha pi R_inf * one / / two two * /
8.900e-13 | Len: 09 | a_0        | G alpha m_Pl two ^ * * E_h /
8.900e-13 | Len: 07 | a_0        | alpha c * E_h / hbar *
8.900e-13 | Len: 09 | a_0        | m_Pl alpha m_Pl E_h G / / * *
8.900e-13 | Len: 11 | a_0        | alpha hbar * E_h / half / c * two /
8.900e-13 | Len: 09 | a_0        | alpha c * E_h / hbar * one ^
1.114e-12 | Len: 09 | a_0        | r_e Z_0 alpha * R_K two * / /
1.939e-12 | Len: 11 | a_0        | r_e half / alpha * two alpha three ^ * /
1.939e-12 | Len: 11 | a_0        | two two / one / alpha r_e alpha / / /
1.939e-12 | Len: 11 | a_0        | half r_e two * * one alpha alpha * / *
1.939e-12 | Len: 11 | a_0        | r_e one three / / alpha / three alpha * /
1.939e-12 | Len: 11 | a_0        | r_e one alpha half / alpha * half * * /
1.939e-12 | Len: 07 | a_0        | r_e one * alpha / alpha /
1.939e-12 | Len: 11 | a_0        | r_e alpha alpha * half e_math e_math - ^ / /
1.942e-12 | Len: 07 | a_0        | r_e alpha G_0 R_K * ^ /
2.576e-12 | Len: 11 | a_0        | lambda_C alpha / pi pi e_math / e_math * + /
2.576e-12 | Len: 11 | a_0        | lambda_C alpha three one - pi one / * * /
6.936e-12 | Len: 11 | a_0        | mu_0 e_charge mu_B / R_K * / alpha alpha * /
5.325e-05 | Len: 11 | a_0        | r_e lambda_C two / alpha pi one * * / +
9.223e-05 | Len: 09 | a_0        | alpha one three - ^ sqrt_3 - r_e *
0.000e+00 | Len: 09 | c          | half Z_0 * one mu_0 two / * /
0.000e+00 | Len: 11 | c          | Z_0 mu_0 / one three two e_math ^ * ^ ^
0.000e+00 | Len: 09 | c          | Z_0 mu_0 one two pi + ^ / /
0.000e+00 | Len: 07 | c          | m_Pl hbar / G m_Pl * *
0.000e+00 | Len: 07 | c          | two mu_0 / Z_0 two / *
0.000e+00 | Len: 07 | c          | e_math e_math Z_0 / / mu_0 /
0.000e+00 | Len: 07 | c          | Z_0 half / mu_0 / two /
0.000e+00 | Len: 09 | c          | one pi e_math + ^ Z_0 mu_0 / *
0.000e+00 | Len: 07 | c          | sqrt_3 sqrt_3 mu_0 * Z_0 / /
0.000e+00 | Len: 11 | c          | three mu_0 one sqrt_3 Z_0 sqrt_3 / / / / /
0.000e+00 | Len: 07 | c          | Z_0 mu_0 / one phi ^ ^
0.000e+00 | Len: 09 | c          | two one - e_math ^ mu_0 Z_0 / /
2.393e-51 | Len: 09 | c          | G m_Pl two ^ hbar one * / *
2.393e-51 | Len: 07 | c          | G m_Pl two ^ * hbar /
1.202e-14 | Len: 07 | c          | K_J mu_0 / Z_0 phi_0 * *
1.600e-14 | Len: 09 | c          | one E_h * R_inf / h / two /
1.600e-14 | Len: 11 | c          | E_h R_inf three two - half h / / * /
2.174e-14 | Len: 07 | c          | one epsilon_0 mu_0 * / half ^
2.174e-14 | Len: 09 | c          | three two - mu_0 epsilon_0 * half ^ /
2.174e-14 | Len: 09 | c          | three three mu_0 epsilon_0 * half ^ * /
3.146e-14 | Len: 07 | c          | phi_0 epsilon_0 / Z_0 K_J / /
4.348e-14 | Len: 05 | c          | one Z_0 / epsilon_0 /
4.348e-14 | Len: 07 | c          | half two epsilon_0 Z_0 * / *
4.348e-14 | Len: 09 | c          | half epsilon_0 half * / Z_0 one / /
4.348e-14 | Len: 07 | c          | one sqrt_2 ^ Z_0 / epsilon_0 /
4.348e-14 | Len: 07 | c          | one three ^ Z_0 epsilon_0 * /
4.348e-14 | Len: 11 | c          | one three pi two / * ^ Z_0 epsilon_0 * /
4.348e-14 | Len: 11 | c          | pi pi three three Z_0 epsilon_0 * * / / /
4.348e-14 | Len: 07 | c          | two Z_0 epsilon_0 two * * /
4.348e-14 | Len: 09 | c          | half two * epsilon_0 one / Z_0 * /
4.348e-14 | Len: 09 | c          | one e_math ^ Z_0 / one / epsilon_0 /
4.348e-14 | Len: 11 | c          | two epsilon_0 Z_0 h * * / hbar * pi *
4.348e-14 | Len: 09 | c          | sqrt_3 one epsilon_0 Z_0 * sqrt_3 * * /
4.348e-14 | Len: 07 | c          | pi pi / epsilon_0 Z_0 * /
4.348e-14 | Len: 07 | c          | sqrt_3 epsilon_0 / Z_0 sqrt_3 * /
4.348e-14 | Len: 11 | c          | two Z_0 half * / epsilon_0 / three one + /
4.348e-14 | Len: 07 | c          | Z_0 epsilon_0 * two three - ^
1.527e-12 | Len: 09 | c          | E_h r_e / a_0 * lambda_C * h /
1.944e-12 | Len: 09 | c          | mu_B r_e e_charge * two / alpha / /
1.944e-12 | Len: 09 | c          | mu_B half r_e e_charge * * / alpha *
2.820e-12 | Len: 09 | c          | hbar one alpha m_e a_0 * * / *
2.820e-12 | Len: 11 | c          | pi hbar * a_0 alpha m_e pi * * * /
2.820e-12 | Len: 11 | c          | hbar alpha / a_0 m_e half two * ^ * /
3.010e-12 | Len: 11 | c          | one alpha / epsilon_0 / one R_K * / half *
3.010e-12 | Len: 09 | c          | half G_0 * alpha / epsilon_0 two * /
3.010e-12 | Len: 09 | c          | G_0 alpha alpha + epsilon_0 half / * /
3.010e-12 | Len: 09 | c          | G_0 epsilon_0 two alpha alpha + * * /
3.053e-12 | Len: 07 | c          | R_K alpha alpha + mu_0 / *
3.053e-12 | Len: 11 | c          | R_K alpha mu_0 three / / * three two / /
3.053e-12 | Len: 11 | c          | alpha two R_K * * one / mu_0 one / /
3.053e-12 | Len: 09 | c          | R_K mu_0 / three one - * alpha *
3.053e-12 | Len: 11 | c          | two half * one + R_K alpha mu_0 / * *
3.054e-12 | Len: 09 | c          | two mu_0 / alpha * half G_0 * /
3.054e-12 | Len: 11 | c          | one half / G_0 half mu_0 * * / alpha *
3.879e-12 | Len: 09 | c          | R_K alpha mu_B / / a_0 / phi_0 /
3.883e-12 | Len: 09 | c          | two alpha mu_B a_0 / e_charge / / /
4.759e-12 | Len: 07 | c          | alpha m_e hbar / / r_e /
5.391e-12 | Len: 11 | c          | one phi_0 m_e / lambda_C e_charge / half * / *
5.396e-12 | Len: 09 | c          | h three three lambda_C m_e * / / /
5.396e-12 | Len: 11 | c          | h three three one / / * m_e / lambda_C /
5.396e-12 | Len: 07 | c          | h one m_e lambda_C * * /
1.554e-06 | Len: 09 | c          | Z_0 mu_0 one alpha e_math ^ + / /
0.000e+00 | Len: 09 | e_charge   | pi G_0 one / * hbar * half ^
1.290e-16 | Len: 07 | e_charge   | h R_K / one * half ^
1.501e-15 | Len: 07 | e_charge   | h one K_J / phi_0 + /
3.993e-15 | Len: 07 | e_charge   | phi_0 R_K one G_0 / - /
4.251e-15 | Len: 09 | e_charge   | phi_0 one half + three / / R_K /
4.251e-15 | Len: 07 | e_charge   | phi_0 one one + * R_K /
4.251e-15 | Len: 11 | e_charge   | sqrt_3 three / sqrt_3 R_K / * phi_0 two * *
4.251e-15 | Len: 09 | e_charge   | phi_0 R_K / three two / half + *
4.251e-15 | Len: 11 | e_charge   | one pi R_K pi phi_0 half / * / * /
4.251e-15 | Len: 11 | e_charge   | phi_0 one pi ^ * two R_K one / / *
4.251e-15 | Len: 07 | e_charge   | three one - R_K / phi_0 *
4.251e-15 | Len: 09 | e_charge   | three R_K three * half phi_0 / * /
4.251e-15 | Len: 07 | e_charge   | two one / phi_0 R_K / *
4.251e-15 | Len: 11 | e_charge   | one half sqrt_2 - ^ two R_K phi_0 / / *
4.251e-15 | Len: 09 | e_charge   | phi_0 R_K / sqrt_3 / two * sqrt_3 *
4.251e-15 | Len: 11 | e_charge   | one two three / ^ phi_0 R_K half * / *
4.251e-15 | Len: 11 | e_charge   | one R_K / three / three * phi_0 two * *
